referenznummer,titel,hauptberuf,firma,vollzeit,verguetungsangabe,festgehalt,gehaltsspanne_von,gehaltsspanne_bis,plz,ort,strasse,veroeffentlicht_am,eintritt_von,entfernung_km,quereinstieg_geeignet
12016-10004738848-S,Fahrer m/w/d für die Frühschicht,Auslieferungsfahrer/in (nicht Verkaufsfahrer/in),PerZukunft Arbeitsvermittlung GmbH&Co.KG,True,STUNDENLOHN,13.9,,,12435,Berlin,,2026-06-26,2026-06-26,4,False
12016-10004773840-S,Quereinsteiger / Fahrer (m/w/d),Berufskraftfahrer/in,PerZukunft Arbeitsvermittlung GmbH&Co.KG,True,STUNDENLOHN,13.9,,,10587,Berlin,,2026-07-02,2026-07-02,7,False
15718-k43631.10160-S,Kraftfahrer (m/w/d) im Patientenfahrdienst,Fahrer/in - Personenbeförderung,Reha Tagesklinik Berlin-Pankow GmbH & Co. KG,True,KEINE_ANGABEN,,,,13187,Berlin,Berliner Straße 129,2026-07-09,2026-07-10,7,False
12016-10004913515-S,Fahrer - Beförderung von Touristen (m/w/d),Dienstwagenfahrer/in,PerZukunft Arbeitsvermittlung GmbH&Co.KG,True,STUNDENLOHN,13.9,,,10587,Berlin,,2026-07-21,2026-07-24,7,False
12016-10004806039-S,B - Fahrer (m/w/d) Mietwagenpflege,Auslieferungsfahrer/in (nicht Verkaufsfahrer/in),PerZukunft Arbeitsvermittlung GmbH&Co.KG,True,JAHRESGEHALT,2200.0,,,10243,Berlin,,2026-07-07,2026-07-09,1,False
10001-1003278028-S,LKW-Fahrer,Berufskraftfahrer/in,HPL Hochbau GmbH,True,KEINE_ANGABEN,,,,12203,Berlin,Roonstr.,2026-06-24,2026-06-24,10,True
12016-10004749498-S,Berufskraftfahrer (m/w/d),Berufskraftfahrer/in,PerZukunft Arbeitsvermittlung GmbH&Co.KG,True,STUNDENLOHN,13.9,,,10969,Berlin,,2026-06-29,2026-07-03,2,False
13635-a6510f1d_JB5144225-S,Fahrer (m/w/d) mit Führerscheinklasse C1,Berufskraftfahrer/in,Elis Deutschland,True,KEINE_ANGABEN,,,,13053,Berlin,,2026-05-12,2026-07-13,7,False
10000-1207080010-S,Fahrer (m/w/d) für Schüler- und Behindertenbeförderung,Fahrer/in - Personenbeförderung,Carsten Schürer Fahrservice,True,KEINE_ANGABEN,,,,,Berlin,,2026-07-06,2026-07-14,3,True
12016-10004738862-S,Lieferfahrer / Fahrer - Spedition (m/w/d),Auslieferungsfahrer/in (nicht Verkaufsfahrer/in),PerZukunft Arbeitsvermittlung GmbH&Co.KG,True,STUNDENLOHN,13.9,,,10999,Berlin,,2026-06-26,2026-06-26,1,False
14332-00002f2bd74001-S,LKW-Fahrer – Klasse C/CE (m/w/d),Berufskraftfahrer/in,Rhenus Office Systems GmbH,True,KEINE_ANGABEN,,,,12055,Berlin,Lahnstraße 31,2026-07-21,2026-07-22,5,False
12016-10004893556-S,Fahrer - Auslieferungsfahrer - Douglasie (m/w/d),Auslieferungsfahrer/in (nicht Verkaufsfahrer/in),PerZukunft Arbeitsvermittlung GmbH&Co.KG,True,STUNDENLOHN,13.9,,,12043,Berlin,,2026-07-17,2026-07-21,4,False
10000-1206294402-S,Abschleppdienst - Fahrer   (m/w/d),Pannendienstfahrer/in,Kroll Abschlepp- & Transport GmbH,True,KEINE_ANGABEN,,,,12103,Berlin,Bessemerstr.,2026-04-24,2026-07-09,7,True
10000-1207079169-S,FAHRER/IN FÜR DEN ABSCHLEPPDIENST,Pannendienstfahrer/in,Abschleppdienst Rudolph GmbH,True,KEINE_ANGABEN,,,,13059,Berlin,Straße 9,2026-07-06,2026-08-01,12,
10001-1003350617-S,Fahrer für Medikamente (m/w/d),Auslieferungsfahrer/in (nicht Verkaufsfahrer/in),Maria Ximena Lopez Henao - Job Zentrum,True,KEINE_ANGABEN,,,,10437,Berlin,Eberswalder Str.,2026-07-08,2026-07-08,3,
10000-1206328000-S,LKW-Fahrer (m/w/d),Berufskraftfahrer/in,Plischka-Möbeltransporte Matthias Schirmann,True,KEINE_ANGABEN,,,,12277,Berlin,Buckower Chaussee,2026-04-28,2026-07-08,12,
12908-060016640-S,Fahrer / Kurier (m/w/d),Auslieferungsfahrer/in (nicht Verkaufsfahrer/in),flaschenpost SE,False,KEINE_ANGABEN,,,,12103,Berlin,,2026-07-15,2026-07-15,6,False
15937-k55805.118527-S,LKW-Fahrer (m/w/d),Berufskraftfahrer/in,Neo Temp GmbH,True,STUNDENLOHN,,20.0,22.0,14979,Großbeeren,,2026-06-30,2026-07-21,18,False
12016-10004773863-S,Fahrer (m/w/d) im Nahverkehr,Berufskraftfahrer/in,PerZukunft Arbeitsvermittlung GmbH&Co.KG,True,STUNDENLOHN,13.9,,,10777,Berlin,,2026-07-02,2026-07-04,6,False
12016-10004731315-S,Fahrer gesucht - Krankenhauslogistik - Nahverkehr (m/w/d),Berufskraftfahrer/in,PerZukunft Arbeitsvermittlung GmbH&Co.KG,True,STUNDENLOHN,14.0,,,10243,Berlin,,2026-06-25,2026-06-26,1,False
12908-060016639-S,Fahrer / Kurier (m/w/d),Auslieferungsfahrer/in (nicht Verkaufsfahrer/in),flaschenpost SE,False,KEINE_ANGABEN,,,,13053,Berlin,,2026-07-15,2026-07-15,7,False
10001-1002239653-S,Berufskraftfahrer (m/w/d),Berufskraftfahrer/in,Sovereign Speed GmbH,True,KEINE_ANGABEN,,,,,Berlin,,2025-12-02,2026-07-03,3,
15453-2026ww96yhts-000-S,LKW Fahrer (m/w/d),Berufskraftfahrer/in,Lekkerland SE,True,KEINE_ANGABEN,,,,14979,Großbeeren,,2026-06-18,2026-06-25,18,False
11852-954240055-S,Fahrer mit Ladetätigkeit im Nahverkehr (m/w/d),Berufskraftfahrer/in,TimePartner Personalmanagement GmbH,,STUNDENLOHN,,15.69,17.65,13465,Berlin,,2026-07-20,2026-07-23,17,False
14332-00002f2b018001-S,LKW-Fahrer im Nahverkehr (m/w/d),Berufskraftfahrer/in,REMONDIS Industrie Service GmbH & Co. KG,True,KEINE_ANGABEN,,,,12055,Berlin,Lahnstraße 31,2026-06-15,2026-07-15,5,False
12016-10004893454-S,Berufskraftfahrer / Fahrer - Bäckerei / Konditorei (m/w/d),Berufskraftfahrer/in,PerZukunft Arbeitsvermittlung GmbH&Co.KG,True,STUNDENLOHN,14.36,,,10587,Berlin,,2026-07-17,2026-07-20,7,False
12537-7AD4390EAC2CA55E66F-S,Fahrer (m/w/d) als Minijob in Heiligensee,Fahrer/in - Personenbeförderung,EJF gemeinnützige AG,,KEINE_ANGABEN,,,,13503,Berlin,Am Bärensprung 46,2026-07-17,2026-08-01,16,False
12016-10004797294-S,Berufskraftfahrer / Berufskraftfahrerin,Berufskraftfahrer/in,PerZukunft Arbeitsvermittlung GmbH&Co.KG,,STUNDENLOHN,18.87,,,12049,Berlin,,2026-07-06,2026-07-10,4,False
12016-10004913543-S,LKW-Fahrer m/w/d Bonuszahlungen,Berufskraftfahrer/in,PerZukunft Arbeitsvermittlung GmbH&Co.KG,True,STUNDENLOHN,13.9,,,10587,Berlin,,2026-07-21,2026-07-21,7,False
12908-060016647-S,Fahrer / Kurier (m/w/d),Auslieferungsfahrer/in (nicht Verkaufsfahrer/in),flaschenpost SE,False,KEINE_ANGABEN,,,,10589,Berlin,,2026-07-15,2026-07-15,8,False
12117-YF-47435-YF-S,Kraftfahrer:in im Nahverkehr (m/w/d),Berufskraftfahrer/in,Dachdecker-Einkauf Ost eG,True,KEINE_ANGABEN,,,,10115,Berlin,,2026-07-20,2026-07-20,3,False
12016-10004883182-S,Fahrer m/w/d Touren innerhalb Berlin,Berufskraftfahrer/in,PerZukunft Arbeitsvermittlung GmbH&Co.KG,True,STUNDENLOHN,13.9,,,10965,Berlin,,2026-07-16,2026-07-18,4,False
12016-10004923715-S,Kraftfahrer im Textil (m/w/d),Helfer/in - Textilherstellung,PerZukunft Arbeitsvermittlung GmbH&Co.KG,True,STUNDENLOHN,15.0,,,10999,Berlin,,2026-07-22,2026-07-26,1,False
14332-00002f2a69c001-S,LKW Fahrer Nahverkehr (m/w/d),Berufskraftfahrer/in,REMONDIS Electrorecycling GmbH,True,KEINE_ANGABEN,,,,12055,Berlin,Lahnstraße 31,2026-05-19,2026-07-16,5,False
10000-1205302747-S,Lkw-Fahrer (m/w/d),Berufskraftfahrer/in,WAB Service GmbH,True,KEINE_ANGABEN,,,,12529,Schönefeld bei Berlin,,2026-01-29,2026-07-06,15,True
10001-1002508145-S,LKW-Fahrer (m/w/d) im Nahverkehr,Berufskraftfahrer/in,Mago Kohn & Kempkes GmbH & Co.KG Wurst- und Fleischwaren,True,KEINE_ANGABEN,,,,10365,Berlin,Josef-Orlopp-Str.,2026-01-29,2026-07-15,5,
14332-00002f2a09a001-S,LKW Fahrer Nahverkehr (m/w/d),Berufskraftfahrer/in,REMONDIS Electrorecycling GmbH,True,KEINE_ANGABEN,,,,12055,Berlin,Lahnstraße 31,2026-04-30,2026-06-29,5,False
10000-1206169626-S,Fahrer (m/w/d) im qualifizierten Krankentransport,Fahrer/in - Personenbeförderung,Rene Roske Krankentransporte,True,KEINE_ANGABEN,,,,10789,Berlin,Nürnberger Str.,2026-04-14,2026-07-15,6,
12688-29088719-RJA-S,LKW-Fahrer für regionale Tagestouren (m/w/d),Berufskraftfahrer/in,METRO  Deutschland  GmbH,True,KEINE_ANGABEN,,,,10115,Berlin,,2026-07-06,2026-07-06,3,False
10000-1200790059-S,Fahrer und Einkäufer (m/w/d),Auslieferungsfahrer/in (nicht Verkaufsfahrer/in),ScrapBees GmbH,True,KEINE_ANGABEN,,,,10115,Berlin,,2024-11-20,2026-01-14,3,True
10000-1206591178-S,LKW-Fahrer (m/w/d),Berufskraftfahrer/in,Witte Spezialtiefbau GmbH & Co. KG,True,KEINE_ANGABEN,,,,12589,Berlin,Rialtoring,2026-05-22,2026-08-01,21,False
12016-10004899546-S,Berufskraftfahrer / LKW-Fahrer (m/w/d) - Messestände,Berufskraftfahrer/in,PerZukunft Arbeitsvermittlung GmbH&Co.KG,True,STUNDENLOHN,13.9,,,10587,Berlin,,2026-07-19,2026-07-19,7,False
12016-10004913564-S,Fahrer (m/w/d) - Berlin - ab sofort! *,Berufskraftfahrer/in,PerZukunft Arbeitsvermittlung GmbH&Co.KG,True,STUNDENLOHN,13.9,,,10587,Berlin,,2026-07-21,2026-07-22,7,False
12511-2024X0000043506-S,Fahrer / Lagermitarbeiter (m/w/d),Lager- und Transportarbeiter/in,Aktiv-Schuh Handelsgesellschaft mbH,True,KEINE_ANGABEN,,,,12489,Berlin,,2026-07-14,2026-07-14,12,False
10000-1206694289-S,Transportsanitäter / Fahrer Krankentransport (m/w/d),Fahrer/in - Personenbeförderung,ABC Ambulanz GmbH,True,KEINE_ANGABEN,,,,10787,Berlin,,2026-06-02,2026-07-15,6,False
14332-00002f28bfa002-S,LKW Fahrer im Nahverkehr (m/w/d),Berufskraftfahrer/in,TSR Group GmbH & Co. KG,True,KEINE_ANGABEN,,,,13353,Berlin,Westhafenstraße 1 / Sektor A,2026-05-19,2026-07-16,6,False
10001-1002708174-S,LKW Fahrer (m/w/d),Berufskraftfahrer/in,Stoppel & Barros Berlin GmbH,True,JAHRESGEHALT,,35000.0,40000.0,13591,Berlin,Am Zeppelinpark,2026-03-04,2026-07-17,20,
17794-0059824580-S,LKW-Fahrer/ Kraftfahrer / Berufskraftfahrer (m/w/d),Berufskraftfahrer/in,"Deutsche Umwelttechnik GmbH c/o BVWM Berberich, Volk, Wengerter, Mücke PartG mbB",True,KEINE_ANGABEN,,,,12555,Berlin,,2025-10-01,2026-07-06,12,False
12951-076b3ad2-767e-4274--S,LKW Fahrer im Nahverkehr (m/w/d),Berufskraftfahrer/in,TSR Group,True,KEINE_ANGABEN,,,,13353,Berlin,Torfstraße 14,2026-03-31,2026-07-20,6,False
12016-10004913533-S,Berufskraftfahrer/ Kraftfahrer - Kfz-Teile (m/w/d),Berufskraftfahrer/in,PerZukunft Arbeitsvermittlung GmbH&Co.KG,True,STUNDENLOHN,13.9,,,10178,Berlin,,2026-07-21,2026-07-23,2,False
12016-10004913529-S,Kraftfahrer - Berlin - Wedding m/w/d,Berufskraftfahrer/in,PerZukunft Arbeitsvermittlung GmbH&Co.KG,True,STUNDENLOHN,13.9,,,10178,Berlin,,2026-07-21,2026-07-25,2,False
12016-10004893484-S,Fahrer / Driver m/w/d Event- und Messebau,Auslieferungsfahrer/in (nicht Verkaufsfahrer/in),PerZukunft Arbeitsvermittlung GmbH&Co.KG,True,STUNDENLOHN,13.9,,,10243,Berlin,,2026-07-17,2026-07-18,1,False
14332-00002f27544001-S,LKW Fahrer (m/w/d),Berufskraftfahrer/in,REMONDIS GmbH & Co. KG Region Ost Verwaltung Prützke,True,KEINE_ANGABEN,,,,16761,Hennigsdorf,August-Conrad-Straße 43,2025-11-19,2026-07-10,21,False
12016-10004834267-S,Fahrer - Bäckerei / Konditorei (m/w/d),Auslieferungsfahrer/in (nicht Verkaufsfahrer/in),PerZukunft Arbeitsvermittlung GmbH&Co.KG,True,STUNDENLOHN,13.9,,,10781,Berlin,,2026-07-10,2026-07-14,5,False
12016-10004923625-S,"Fahrer für Getränke (m/w/d) bundesweit - 16,22 € / Std.",Auslieferungsfahrer/in (nicht Verkaufsfahrer/in),PerZukunft Arbeitsvermittlung GmbH&Co.KG,True,STUNDENLOHN,14.0,,,10178,Berlin,,2026-07-22,2026-07-24,2,False
10001-1002609882-S,BOBCAT-Fahrer:in (m/w/d),Baugeräteführer/in,STRABAG AG,True,KEINE_ANGABEN,,,,12103,Berlin,Bessemerstraße,2026-02-16,2026-04-10,7,
12016-10004905488-S,Fahrer C / CE - Krankenhauslogistik (m/w/d) bundesweit,Berufskraftfahrer/in,PerZukunft Arbeitsvermittlung GmbH&Co.KG,True,STUNDENLOHN,13.9,,,12043,Berlin,,2026-07-20,2026-07-24,4,False
12016-10004766017-S,Fahrer - Bäckerei / Konditorei,Berufskraftfahrer/in,PerZukunft Arbeitsvermittlung GmbH&Co.KG,True,STUNDENLOHN,13.9,,,10587,Berlin,,2026-07-01,2026-07-04,7,False
12032-R623DC2F1-S,LKW-Fahrer mit Ladekran gesucht! (m/w/d),Berufskraftfahrer/in,DIEPA GmbH Filiale Berlin Südost,True,KEINE_ANGABEN,,,,12347,Berlin,,2026-07-15,2026-07-15,7,False
10001-1001551710-S,Fahrer/in Krankentransport (m/w/d),Rettungshelfer/in,eMARK Marketing GmbH,True,KEINE_ANGABEN,,,,10623,Berlin,Kantstr.,2025-07-07,2026-06-23,7,
14332-00002f25d57001-S,LKW Fahrer im Nahverkehr (m/w/d),Berufskraftfahrer/in,REMONDIS GmbH & Co. KG Region Nord,True,KEINE_ANGABEN,,,,13353,Berlin,Westhafenstraße 1 / Sektor A,2025-07-30,2025-11-04,6,False
10001-1003306233-S,LKW-Fahrer (Klasse C) (m/w/d) (Betonmischer),Betonmischerfahrer/in,RÖFA - Die Logistiker GmbH,True,STUNDENLOHN,,15.0,17.0,,Berlin,,2026-06-30,2026-08-03,3,True
10001-1003356107-S,Fahrer*in / Chauffeur*in des Prüfungsstellenleiters (m/w/d/ohne Angabe),Fahrer/in - Personenbeförderung,Ostdeutscher Sparkassenverband,True,KEINE_ANGABEN,,,,,Berlin,,2026-07-08,2026-07-10,3,
12016-10004923623-S,Berufskraftfahrer - Pflanzen aus Holland - in VZ m/w/d,Berufskraftfahrer/in,PerZukunft Arbeitsvermittlung GmbH&Co.KG,True,STUNDENLOHN,13.9,,,10179,Berlin,,2026-07-22,2026-07-24,1,False
12016-10004858864-S,Berufskraftfahrer / Automobiltranport (m/w/d),Berufskraftfahrer/in,PerZukunft Arbeitsvermittlung GmbH&Co.KG,True,STUNDENLOHN,13.9,,,10405,Berlin,,2026-07-14,2026-07-16,3,False
15527-k50296.2581-S,Fahrer/Logistiker Gastronomie (m/w/d),Logistiker/in,L & D GmbH 9090,True,JAHRESGEHALT,,31944.0,33060.0,10367,Berlin,Vulkanstr. 13,2026-07-16,2026-08-03,5,False
12016-10004923650-S,Auslieferungsfahrer - Fahrer - Bäckerei Unbefristet/VZ m/w/d,Berufskraftfahrer/in,PerZukunft Arbeitsvermittlung GmbH&Co.KG,True,STUNDENLOHN,13.9,,,10587,Berlin,,2026-07-22,2026-07-23,7,False
12016-10004793075-S,Kraftfahrer / Fahrer gesucht (m/w/d) - Labore,Berufskraftfahrer/in,PerZukunft Arbeitsvermittlung GmbH&Co.KG,True,STUNDENLOHN,13.9,,,10587,Berlin,,2026-07-05,2026-07-05,7,False
12016-10004859116-S,Fahrer für Limousinenservice gesucht! P-Schein (m/w/d),Auslieferungsfahrer/in (nicht Verkaufsfahrer/in),PerZukunft Arbeitsvermittlung GmbH&Co.KG,True,STUNDENLOHN,13.9,,,10247,Berlin,,2026-07-14,2026-07-17,3,False
12537-6B54C3F19904B885ED0-S,Fahrer (m/w/d) für Tagespflege als Minijob,Fahrer/in - Personenbeförderung,EJF gemeinnützige AG,,KEINE_ANGABEN,,,,13507,Berlin,Eisenhammerweg 12,2026-06-26,2026-09-15,13,False
10001-1003268557-S,Kraftfahrer,Berufskraftfahrer/in,Schlüter-Weiss Mietwäsche Wagner GmbH,True,STUNDENLOHN,14.8,,,10587,Berlin,Helmholtzstr.,2026-06-23,2026-07-15,7,True
10001-1003414016-S,Berufskraftfahrer/in (m/w/d) gesucht,Berufskraftfahrer/in,Hans Engelke Energie OHG,True,KEINE_ANGABEN,,,,12099,Berlin,Tempelhofer Weg,2026-07-20,2026-07-22,6,True
12016-10004797315-S,Fahrer /in - Recycling (m/w/d),Auslieferungsfahrer/in (nicht Verkaufsfahrer/in),PerZukunft Arbeitsvermittlung GmbH&Co.KG,True,STUNDENLOHN,13.9,,,10587,Berlin,,2026-07-06,2026-07-10,7,False
10001-1003234340-S,Fahrer und/oder Rettungssanitäter im Krankentransport,Rettungssanitäter/in,Schnelle medizinische Hilfe Krankentransport GmbH,True,JAHRESGEHALT,,32000.0,36000.0,13086,Berlin,Gustav-Adolf-Str.,2026-06-16,2026-06-16,6,
12016-10004745742-S,Kraftfahrer m/w/d,Berufskraftfahrer/in,PerZukunft Arbeitsvermittlung GmbH&Co.KG,True,STUNDENLOHN,13.9,,,10587,Berlin,,2026-06-29,2026-06-29,7,False
12016-10004893607-S,Taxibetrieb - Fahrer gesucht! mit Dienstwagen (m/w/d),Taxifahrer/in,PerZukunft Arbeitsvermittlung GmbH&Co.KG,True,STUNDENLOHN,13.9,,,10961,Berlin,,2026-07-17,2026-07-18,3,False
11289-226288896-S,Berufskraftfahrer (m/w/d),Berufskraftfahrer/in,Der Bäcker Feihl Berlin GmbH,False,KEINE_ANGABEN,,,,12681,Berlin,,2026-06-23,2026-07-08,8,False
12842-k45127.3358-S,LKW - Fahrer (m/w/d),Kraftfahrzeugführer/in - Ver- und Entsorgung,S&B Personalservice GmbH,True,STUNDENLOHN,17.0,,,12529,Schönefeld bei Berlin,,2026-07-14,2026-07-15,15,False
12016-10004848230-S,Kraftfahrer / Fahrer - Abfallgewerbe - Vollzeit (m/w/d),Berufskraftfahrer/in,PerZukunft Arbeitsvermittlung GmbH&Co.KG,True,STUNDENLOHN,13.9,,,10587,Berlin,,2026-07-13,2026-07-16,7,False
12913-f338f56f2595f002-S,Berufskraftfahrer (m/w/d) ,Berufskraftfahrer/in,Unique Personalservice GmbH NL Berlin Mitte (O),True,STUNDENLOHN,,19.0,20.0,13407,Berlin,,2026-06-25,2026-06-25,8,False
17163-0065127878-S,Kraftfahrer (m/w/d),Berufskraftfahrer/in,IRS Holding GmbH,True,KEINE_ANGABEN,,,,10553,Berlin,,2026-06-04,2026-06-30,7,False
10000-1206950797-S,Service-Fahrer mit Führerschein Klasse B (m/w/d),Berufskraftfahrer/in,Testorp Textilpflege GmbH & Co KG  ,True,KEINE_ANGABEN,,,,12359,Berlin,Haarlemer Str.,2026-06-24,2026-07-21,7,True
16334-mbr6ignmr0daoe9v58-S,Fahrer / Kurier (m/w/d) - gerne Quereinsteiger,Verkaufsfahrer/in,flaschenpost SE,False,KEINE_ANGABEN,,,,13053,Berlin,,2026-07-22,2026-07-23,7,False
12098-373A1710-S,Berufskraftfahrer (m/w/d),Berufskraftfahrer/in,TEMPTON Personaldienstleistungen GmbH,True,STUNDENLOHN,,17.65,21.97,10829,Berlin,Sachsendamm 61,2025-07-01,2026-04-20,6,False
11858-SDE-108841-STA-S,Kraftfahrer (m/w/d) für die Flugzeugbetankung,Berufskraftfahrer/in,Skytanking Holding GmbH,True,KEINE_ANGABEN,,,,10115,Berlin,,2026-07-10,2026-07-10,3,False
12016-10004816094-S,Fahrer für Postunterlagen gesucht! (m/w/d),Auslieferungsfahrer/in (nicht Verkaufsfahrer/in),PerZukunft Arbeitsvermittlung GmbH&Co.KG,True,STUNDENLOHN,13.9,,,10587,Berlin,,2026-07-08,2026-07-08,7,False
13635-3849db15_JB5190072-S,Fahrer & Montagetechniker Medizintechnik (m/w/d),Berufskraftfahrer/in,Stusche GmbH,True,KEINE_ANGABEN,,,,14513,Teltow,,2026-07-06,2026-07-06,17,False
10001-1003299401-S,Berufskraftfahrer (m/w/d),Berufskraftfahrer/in,Kunzendorf Spedition GmbH,True,KEINE_ANGABEN,,,,12057,Berlin,Nobelstr.,2026-06-29,2026-07-08,6,True
10000-1202098475-S,Kraftfahrer (m/w/d),Berufskraftfahrer/in,Zapf Umzüge AG,True,KEINE_ANGABEN,,,,12057,Berlin,Nobelstr.,2025-04-02,2026-06-24,6,False
10001-1003173740-S,Berufskraftfahrer*in,Berufskraftfahrer/in,Erler Wennigsen KG,True,STUNDENLOHN,,15.0,18.0,13053,Berlin,Marzahner Str.,2026-06-03,2026-07-16,8,
12016-10004859156-S,Berufskraftfahrer - Sonstiges - Vollzeit (m/w/d),Berufskraftfahrer/in,PerZukunft Arbeitsvermittlung GmbH&Co.KG,True,STUNDENLOHN,13.9,,,10243,Berlin,,2026-07-14,2026-07-16,1,False
12016-10004858861-S,Kraftfahrer/in - Pflanzen - Blumenkästen m/w/d,Berufskraftfahrer/in,PerZukunft Arbeitsvermittlung GmbH&Co.KG,True,STUNDENLOHN,13.9,,,10243,Berlin,,2026-07-14,2026-07-18,1,False
14751-272A678-S,Fahrer (m/w/d) für Berlin Hennigsdorf,Fahrer/in - Personenbeförderung,H 2 Personalmanagement GmbH,True,STUNDENLOHN,15.29,,,16761,Hennigsdorf,,2026-07-01,2026-07-01,20,False
12016-10004893455-S,"Fahrer/in / Berufskraftfahrer/in 3011,67 €/Brutto - Zement",Berufskraftfahrer/in,PerZukunft Arbeitsvermittlung GmbH&Co.KG,True,JAHRESGEHALT,3011.67,,,10405,Berlin,,2026-07-17,2026-07-18,3,False
12016-10004797317-S,Fleißige Fahrer gesucht m/w/d,Auslieferungsfahrer/in (nicht Verkaufsfahrer/in),PerZukunft Arbeitsvermittlung GmbH&Co.KG,True,STUNDENLOHN,13.9,,,10587,Berlin,,2026-07-06,2026-07-09,7,False
14751-62A122239-S,Fahrer Stehameise(m/w/d),Gabelstaplerfahrer/in,iperdi HL GmbH - Niederlassung Potsdam,True,STUNDENLOHN,15.69,,,14979,Großbeeren,,2026-07-01,2026-07-01,18,False
12016-10004848222-S,Berufskraftfahrer - Arbeitsbühne - Spandau m/w/d,Berufskraftfahrer/in,PerZukunft Arbeitsvermittlung GmbH&Co.KG,True,STUNDENLOHN,13.9,,,10243,Berlin,,2026-07-13,2026-07-15,1,False
12016-10004913549-S,Berufskraftfahrer Textilien/Kindermode mit Erfahrung (m/w/d),Berufskraftfahrer/in,PerZukunft Arbeitsvermittlung GmbH&Co.KG,True,STUNDENLOHN,13.9,,,10243,Berlin,,2026-07-21,2026-07-21,1,False
12016-10004905582-S,Fahrer - Getränke - Start-up (m/w/d),Auslieferungsfahrer/in (nicht Verkaufsfahrer/in),PerZukunft Arbeitsvermittlung GmbH&Co.KG,True,STUNDENLOHN,13.9,,,10587,Berlin,,2026-07-20,2026-07-23,7,False
12016-10004883213-S,Indischer Lieferdienst sucht Fahrer in Teilzeit (m/w/d),Auslieferungsfahrer/in (nicht Verkaufsfahrer/in),PerZukunft Arbeitsvermittlung GmbH&Co.KG,True,STUNDENLOHN,13.9,,,12047,Berlin,,2026-07-16,2026-07-20,2,False
12016-10004923622-S,Tankwagenfahrer / Berufskraftfahrer (m/w/d),Berufskraftfahrer/in,PerZukunft Arbeitsvermittlung GmbH&Co.KG,True,STUNDENLOHN,13.9,,,10587,Berlin,,2026-07-22,2026-07-24,7,False
12016-10004816054-S,*NEU* Entschlossene Fahrer/innen in Berlin gesucht,Auslieferungsfahrer/in (nicht Verkaufsfahrer/in),PerZukunft Arbeitsvermittlung GmbH&Co.KG,True,STUNDENLOHN,13.9,,,10999,Berlin,,2026-07-08,2026-07-09,1,False
11852-943141181-S,Fahrer mit Ladetätigkeit im Nahverkehr (m/w/d),Berufskraftfahrer/in,TimePartner Personalmanagement GmbH,,STUNDENLOHN,,15.69,17.65,13437,Berlin,,2026-05-01,2026-05-01,11,False
11852-944311601-S,LKW-Fahrer mit Staplerschein (m/w/d),Berufskraftfahrer/in,TimePartner Personalmanagement GmbH,,STUNDENLOHN,,3100.0,4000.0,12277,Berlin,,2026-05-07,2026-05-07,11,False
12016-10004784032-S,Fahrer - Bäckereibedarf - Spandau m/w/d,Berufskraftfahrer/in,PerZukunft Arbeitsvermittlung GmbH&Co.KG,True,STUNDENLOHN,13.9,,,10587,Berlin,,2026-07-03,2026-07-07,7,False
10001-1003276425-S,Fahrer / Lagermitarbeiter (m/w/d),Fachkraft - Lagerlogistik,Aktiv-Schuh Handelsgesellschaft mbH - Berlin West,True,KEINE_ANGABEN,,,,12489,Berlin,Georg-Schendel-Str.,2026-06-24,2026-08-01,11,
12016-10004647858-S,Kraftfahrer/in - Entsorgung,Berufskraftfahrer/in,PerZukunft Arbeitsvermittlung GmbH&Co.KG,True,STUNDENLOHN,13.9,,,10178,Berlin,,2026-06-11,2026-06-15,2,False
10000-1205117566-S,Berufskraftfahrer/Berufskraftfahrerin (m/w/d),Berufskraftfahrer/in,AMBAU Personalservice GmbH,True,KEINE_ANGABEN,,,,13409,Berlin,,2026-01-14,2026-07-10,7,False
12016-10004773878-S,Essenslieferdienste - Lieferbranche - Fahrer (m/w/d),Auslieferungsfahrer/in (nicht Verkaufsfahrer/in),PerZukunft Arbeitsvermittlung GmbH&Co.KG,True,STUNDENLOHN,13.9,,,10587,Berlin,,2026-07-02,2026-07-05,7,False
12336-a26f1008j0447682-S,Lkw-Fahrer - Nahverkehr in Berlin-Tempelhof (m/w/d),Berufskraftfahrer/in,Deutsche Post AG,True,KEINE_ANGABEN,,,,12101,Berlin,,2026-07-14,2026-07-14,5,False
14922-71262496-S,LKW Fahrer  im Nahverkehr (m/w/d),Berufskraftfahrer/in,Ludwig Meyer GmbH & Co. KG,True,KEINE_ANGABEN,,,,14979,Großbeeren,,2026-07-01,2026-07-01,18,False
12016-10004766037-S,Fahrer/in / Auslieferungsfahrer/in - Absperrungen,Auslieferungsfahrer/in (nicht Verkaufsfahrer/in),PerZukunft Arbeitsvermittlung GmbH&Co.KG,True,STUNDENLOHN,13.0,,,10587,Berlin,,2026-07-01,2026-07-01,7,False
12016-10004765970-S,Fahrer m/w/d - Getränkefirma – Frühdienst,Auslieferungsfahrer/in (nicht Verkaufsfahrer/in),PerZukunft Arbeitsvermittlung GmbH&Co.KG,,STUNDENLOHN,13.9,,,10587,Berlin,,2026-07-01,2026-07-04,7,False
14751-62A122120-S,LKW-Fahrer (m/w/d) im Nahverkehr,Berufskraftfahrer/in,iperdi HL GmbH - Niederlassung Potsdam,True,STUNDENLOHN,,17.65,18.5,14979,Großbeeren,,2026-06-30,2026-07-01,18,False
